   id   |          event_time           |         action          |                              run_id                              |              request_id              | outcome |                     resource                      |                                                                                                                                                 payload_head                                                                                                                                                 
 263744 | 2026-02-07 17:46:45.776162+09 | REST_ERROR_RESPONSE     |                                                                  | 8934d16c-310c-41ed-90e0-ce06e7996ba2 | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263742 | 2026-02-07 17:46:45.153711+09 | REST_ERROR_RESPONSE     |                                                                  | trace-20251212T143720Z               | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263740 | 2026-02-07 17:46:23.296153+09 | REST_ERROR_RESPONSE     |                                                                  | 85c3b713-e3cb-43ac-a4f4-f7d49138af37 | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263738 | 2026-02-07 17:46:22.460357+09 | REST_ERROR_RESPONSE     |                                                                  | 8bd23a45-ca11-4d91-a918-2f93f3632fb1 | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263736 | 2026-02-07 17:46:13.775109+09 | REST_ERROR_RESPONSE     |                                                                  | 02aa95a4-72a3-40ec-adb6-b5158a0250ca | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263734 | 2026-02-07 16:04:27.085342+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 5b1d8222-2fca-40be-b686-a068c6a9de08 | FAILURE | /openDolphin/resources/api/admin/delivery         | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263733 | 2026-02-07 16:04:26.929023+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 5b1d8222-2fca-40be-b686-a068c6a9de08 | FAILURE | /openDolphin/resources/api/admin/config           | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263732 | 2026-02-07 16:03:32.915492+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 7fdab387-afbd-47f0-8815-a7483250b6aa | FAILURE | /openDolphin/resources/api/orca/queue             | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263731 | 2026-02-07 16:03:02.997929+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 833001c3-02f7-4786-836b-21b53684c3d3 | FAILURE | /openDolphin/resources/api/admin/delivery         | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263730 | 2026-02-07 16:03:02.860355+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 833001c3-02f7-4786-836b-21b53684c3d3 | FAILURE | /openDolphin/resources/api/admin/config           | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263729 | 2026-02-07 16:00:38.04245+09  | REST_UNAUTHORIZED_GUARD |                                                                  | e396c2e5-3a91-4d97-bcf8-186cd59f956b | FAILURE | /openDolphin/resources/api/orca/queue             | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263728 | 2026-02-07 16:00:08.140768+09 | REST_UNAUTHORIZED_GUARD |                                                                  | e396c2e5-3a91-4d97-bcf8-186cd59f956b | FAILURE | /openDolphin/resources/api/admin/delivery         | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263727 | 2026-02-07 16:00:07.998243+09 | REST_UNAUTHORIZED_GUARD |                                                                  | e396c2e5-3a91-4d97-bcf8-186cd59f956b | FAILURE | /openDolphin/resources/api/admin/config           | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263726 | 2026-02-07 15:58:54.396505+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 504c582e-e4a3-46d2-b50f-89e2d21fb544 | FAILURE | /openDolphin/resources/api/admin/delivery         | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
 263725 | 2026-02-07 15:58:54.253361+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 504c582e-e4a3-46d2-b50f-89e2d21fb544 | FAILURE | /openDolphin/resources/api/admin/config           | {"reason":"authentication_failed","httpStatus":401,"errorMessage":"Authentication required","errorCode":"unauthorized","facilityIdHeader":"0001","status":"failed"}
(40 rows)

